code,name,description,notes,type
2019,2019,Были в составе коммиссий в парламентских выборах 2019 года,,0
honest,Честный подсчёт,Они считали честно,,5
transparent,Прозрачность,Каждый бюллетень показывали наблюдателям,,5
complaints,Рекорд нарушений,Рекордное число нарушений,,-3
false-pre-poll,Фальсификация досрочного,Засвидетельстваны фальсификации досрочного голосования,,-4
observers-friendly,Друг наблюдателю,Были дружелюбны к наблюдателям,,5
observers-banned,Лишение аккредитации,Лишали наблюдателей аккредитации,,-5
observers-arrested,Задержание наблюдателя,Сдавали наблюдателя в милицию,,-5
no-photo,Запрет фото-видео,Запрещали фото и видеосъемку наблюдателям,,-3
yes-video,Видео подсчёта,Велась видео-съемка подсчёта,,3
no-ballot-photo,Запрет фото голоса,Пытались запретить фото бюллетеней,,-3
no-protocols,Без протоколов,Отказались показывать протоколы досрочного голосования,,-5
protocols,Есть протоколы,В сети есть фото протоколов досрочного голосования,"Сюда можно все комиссии, чьи досрочные есть в репортах",1
no-final,Без итогов,Отказались показывать итоговый протокол,,-5
final,Есть итоги,Есть фото итогового голосования,"Сюда можно все комиссии, чьи итоговые есть в репортах",1
no-sign,Не подписался,Отказались подписывать фальшивый протокол,,5
telepat,Знали цифры заранее,Знали цифры результатов до голосования,,-5
secret-hero,Тайный герой,"В комиссии есть честный человек, который записал происходящее",,0
out-of-ballots,Кончились бюлленени,Перестарались на досрочном и не хватило бюллетеней на основной день,Явка больше 100%,-3
shame,Стыдно,Убегали от избирателей через запасной выход или с милицией,,-3
